id,activitydate,totalsteps,totaldistance,trackerdistance,loggedactivitiesdistance,veryactivedistance,moderatelyactivedistance,lightactivedistance,sedentaryactivedistance,veryactiveminutes,fairlyactiveminutes,lightlyactiveminutes,sedentaryminutes,calories,day_of_week,month,day_number,is_weekend,total_active_minutes,activity_level,merge_date,sleepday,totalsleeprecords,totalminutesasleep,totaltimeinbed,sleep_efficiency,sleep_deficit
1503960366,2016-04-12,13162,8.5,8.5,0.0,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,1985,Tuesday,April,1,False,366,Highly Active,2016-04-12,2016-04-12,1.0,327.0,346.0,94.50867052023122,153.0
1503960366,2016-04-13,10735,6.96999979019165,6.96999979019165,0.0,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,1797,Wednesday,April,2,False,257,Highly Active,2016-04-13,2016-04-13,2.0,384.0,407.0,94.34889434889435,96.0
1503960366,2016-04-14,10460,6.73999977111816,6.73999977111816,0.0,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,1776,Thursday,April,3,False,222,Highly Active,2016-04-14,,,,,,
1503960366,2016-04-15,9762,6.28000020980835,6.28000020980835,0.0,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,1745,Friday,April,4,False,272,Moderately Active,2016-04-15,2016-04-15,1.0,412.0,442.0,93.21266968325791,68.0
1503960366,2016-04-16,12669,8.15999984741211,8.15999984741211,0.0,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,1863,Saturday,April,5,True,267,Highly Active,2016-04-16,2016-04-16,2.0,340.0,367.0,92.64305177111717,140.0
1503960366,2016-04-17,9705,6.48000001907349,6.48000001907349,0.0,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,1728,Sunday,April,6,True,222,Moderately Active,2016-04-17,2016-04-17,1.0,700.0,712.0,98.31460674157303,-220.0
1503960366,2016-04-18,13019,8.59000015258789,8.59000015258789,0.0,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,1921,Monday,April,0,False,291,Highly Active,2016-04-18,,,,,,
1503960366,2016-04-19,15506,9.88000011444092,9.88000011444092,0.0,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,2035,Tuesday,April,1,False,345,Highly Active,2016-04-19,2016-04-19,1.0,304.0,320.0,95.0,176.0
1503960366,2016-04-20,10544,6.67999982833862,6.67999982833862,0.0,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,1786,Wednesday,April,2,False,245,Highly Active,2016-04-20,2016-04-20,1.0,360.0,377.0,95.49071618037135,120.0
1503960366,2016-04-21,9819,6.34000015258789,6.34000015258789,0.0,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,1775,Thursday,April,3,False,238,Moderately Active,2016-04-21,2016-04-21,1.0,325.0,364.0,89.28571428571429,155.0
