id,activityhour,calories,hour,day_of_week
1503960366,2016-04-12 00:00:00,81,0,Tuesday
1503960366,2016-04-12 01:00:00,61,1,Tuesday
1503960366,2016-04-12 02:00:00,59,2,Tuesday
1503960366,2016-04-12 03:00:00,47,3,Tuesday
1503960366,2016-04-12 04:00:00,48,4,Tuesday
1503960366,2016-04-12 05:00:00,48,5,Tuesday
1503960366,2016-04-12 06:00:00,48,6,Tuesday
1503960366,2016-04-12 07:00:00,47,7,Tuesday
1503960366,2016-04-12 08:00:00,68,8,Tuesday
1503960366,2016-04-12 09:00:00,141,9,Tuesday
1503960366,2016-04-12 10:00:00,99,10,Tuesday
1503960366,2016-04-12 11:00:00,76,11,Tuesday
1503960366,2016-04-12 12:00:00,73,12,Tuesday
1503960366,2016-04-12 13:00:00,66,13,Tuesday
1503960366,2016-04-12 14:00:00,110,14,Tuesday
1503960366,2016-04-12 15:00:00,151,15,Tuesday
1503960366,2016-04-12 16:00:00,76,16,Tuesday
1503960366,2016-04-12 17:00:00,83,17,Tuesday
1503960366,2016-04-12 18:00:00,124,18,Tuesday
1503960366,2016-04-12 19:00:00,104,19,Tuesday
1503960366,2016-04-12 20:00:00,132,20,Tuesday
1503960366,2016-04-12 21:00:00,100,21,Tuesday
1503960366,2016-04-12 22:00:00,65,22,Tuesday
1503960366,2016-04-12 23:00:00,81,23,Tuesday
1503960366,2016-04-13 00:00:00,69,0,Wednesday
1503960366,2016-04-13 01:00:00,48,1,Wednesday
1503960366,2016-04-13 02:00:00,47,2,Wednesday
1503960366,2016-04-13 03:00:00,53,3,Wednesday
1503960366,2016-04-13 04:00:00,47,4,Wednesday
1503960366,2016-04-13 05:00:00,47,5,Wednesday
1503960366,2016-04-13 06:00:00,48,6,Wednesday
1503960366,2016-04-13 07:00:00,59,7,Wednesday
1503960366,2016-04-13 08:00:00,69,8,Wednesday
1503960366,2016-04-13 09:00:00,136,9,Wednesday
1503960366,2016-04-13 10:00:00,77,10,Wednesday
1503960366,2016-04-13 11:00:00,84,11,Wednesday
1503960366,2016-04-13 12:00:00,82,12,Wednesday
1503960366,2016-04-13 13:00:00,72,13,Wednesday
1503960366,2016-04-13 14:00:00,128,14,Wednesday
1503960366,2016-04-13 15:00:00,79,15,Wednesday
1503960366,2016-04-13 16:00:00,71,16,Wednesday
1503960366,2016-04-13 17:00:00,87,17,Wednesday
1503960366,2016-04-13 18:00:00,118,18,Wednesday
1503960366,2016-04-13 19:00:00,73,19,Wednesday
1503960366,2016-04-13 20:00:00,47,20,Wednesday
1503960366,2016-04-13 21:00:00,48,21,Wednesday
1503960366,2016-04-13 22:00:00,74,22,Wednesday
1503960366,2016-04-13 23:00:00,135,23,Wednesday
1503960366,2016-04-14 00:00:00,56,0,Thursday
1503960366,2016-04-14 01:00:00,54,1,Thursday
1503960366,2016-04-14 02:00:00,47,2,Thursday
1503960366,2016-04-14 03:00:00,47,3,Thursday
1503960366,2016-04-14 04:00:00,47,4,Thursday
1503960366,2016-04-14 05:00:00,47,5,Thursday
1503960366,2016-04-14 06:00:00,47,6,Thursday
